t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0,alvo
105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59
105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0
105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07
105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73
105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04
105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55
105868.5,105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88
105845.93,105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6
105868.5,105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21
105853.69,105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94
105851.28,105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8
105818.89,105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55
105793.66,105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88
105760.0,105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08
105830.22,105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36
105835.59,105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32
105835.0,105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01
105828.07,105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26
105840.73,105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68
105837.04,105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81
105832.55,105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42
105828.88,105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33
105762.6,105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78
105807.21,105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89
105806.94,105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97
105813.8,105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44
105746.55,105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57
105839.88,105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41
105912.08,105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31
105917.36,105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59
105936.32,105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17
105839.01,105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46
105831.26,105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51
105752.68,105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91
105764.81,105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89
105762.42,105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98
105765.33,105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72
105838.78,105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67
105845.89,105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98
105846.97,105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64
105848.44,105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02
105841.57,105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37
105855.41,105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91
105842.31,105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3
105850.59,105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03
105831.17,105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27
105815.46,105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87
105800.51,105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04
105782.91,105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99
