Date,Open,Low,High,Close,Volume
2025-07-02 11:17:00,108473.65,108438.54,108500.59,108500.58,31726284.8
2025-07-02 11:18:00,108500.57,108457.88,108508.83,108500.59,31750149.68888889
2025-07-02 11:19:00,108503.3,108466.5,108549.98,108549.98,31734101.333333332
2025-07-02 11:20:00,108554.08,108506.2,108554.08,108537.2,31760133.68888889
2025-07-02 11:21:00,108537.19,108508.75,108550.0,108537.88,31715205.68888889
2025-07-02 11:22:00,108542.38,108522.48,108571.31,108530.58,31776566.044444446
2025-07-02 11:23:00,108538.27,108538.27,108583.78,108583.78,31778688.0
2025-07-02 11:24:00,108593.59,108547.81,108593.59,108547.81,31777499.02222222
2025-07-02 11:25:00,108558.01,108474.49,108566.91,108485.97,31774782.577777777
2025-07-02 11:26:00,108498.06,108419.23,108501.01,108419.24,31774782.577777777
2025-07-02 11:27:00,108419.23,108375.6,108419.23,108411.52,31783347.2
2025-07-02 11:28:00,108411.53,108333.9,108414.99,108342.16,32440484.97777778
2025-07-02 11:29:00,108361.65,108292.67,108361.65,108339.38,31717091.555555556
2025-07-02 11:30:00,108318.66,108307.87,108339.36,108307.87,32365701.68888889
2025-07-02 11:31:00,108307.86,108297.87,108330.36,108330.36,32365701.68888889
2025-07-02 11:32:00,108330.38,108250.01,108335.05,108250.01,32403677.866666667
2025-07-02 11:33:00,108266.16,108249.11,108305.25,108301.93,32355430.4
2025-07-02 11:34:00,108326.45,108326.45,108382.89,108369.52,32437654.755555555
2025-07-02 11:35:00,108388.97,108388.97,108469.83,108413.55,32418454.755555555
2025-07-02 11:36:00,108433.6,108427.37,108478.58,108472.84,32418454.755555555
2025-07-02 11:37:00,108478.0,108475.3,108507.9,108498.19,32447195.02222222
2025-07-02 11:38:00,108495.02,108469.17,108534.91,108472.26,32447195.02222222
2025-07-02 11:39:00,108481.79,108441.09,108481.79,108472.87,31762466.133333333
2025-07-02 11:40:00,108472.87,108472.87,108489.92,108489.92,31761115.02222222
2025-07-02 11:41:00,108489.91,108432.01,108489.91,108485.98,32154990.933333334
2025-07-02 11:42:00,108485.97,108454.83,108485.97,108457.35,32145806.222222224
2025-07-02 11:43:00,108489.93,108482.49,108538.76,108538.76,32148809.955555554
2025-07-02 11:44:00,108538.75,108498.07,108538.75,108522.47,32136356.97777778
2025-07-02 11:45:00,108528.0,108528.0,108562.68,108553.99,32108635.02222222
2025-07-02 11:46:00,108550.71,108547.76,108568.95,108566.01,32108635.02222222
2025-07-02 11:47:00,108563.02,108547.75,108571.31,108552.3,31470270.577777777
2025-07-02 11:48:00,108545.57,108519.44,108548.72,108519.44,32160147.911111113
2025-07-02 11:49:00,108515.38,108489.93,108517.05,108517.05,31526269.155555554
2025-07-02 11:50:00,108530.62,108530.62,108571.29,108553.14,31922855.82222222
2025-07-02 11:51:00,108553.15,108553.06,108581.7,108581.7,31922855.82222222
2025-07-02 11:52:00,108596.99,108594.31,108599.99,108599.99,31921561.6
2025-07-02 11:53:00,108612.02,108563.3,108621.86,108563.3,31940241.066666666
2025-07-02 11:54:00,108575.83,108556.0,108616.69,108610.64,31940241.066666666
2025-07-02 11:55:00,108639.04,108628.8,108685.7,108685.7,31968822.044444446
2025-07-02 11:56:00,108690.61,108690.61,108790.74,108779.07,32697213.155555554
2025-07-02 11:57:00,108779.08,108752.77,108797.27,108788.97,31971174.4
2025-07-02 11:58:00,108781.37,108732.01,108798.16,108797.22,31964623.644444443
2025-07-02 11:59:00,108797.73,108782.89,108800.0,108796.2,31964623.644444443
2025-07-02 12:00:00,108797.47,108790.85,108819.28,108790.85,32110355.911111113
2025-07-02 12:01:00,108790.87,108715.68,108797.27,108797.27,32089326.933333334
2025-07-02 12:02:00,108795.02,108785.66,108828.07,108828.07,32089326.933333334
2025-07-02 12:03:00,108813.63,108813.63,108880.11,108880.11,32293370.31111111
2025-07-02 12:04:00,108882.04,108875.4,108957.61,108957.61,32293370.31111111
2025-07-02 12:05:00,108973.05,108973.05,109213.44,109213.44,32346294.044444446
2025-07-02 12:06:00,109210.39,109210.39,109297.04,109297.04,32343611.733333334
2025-07-02 12:07:00,109297.59,109178.46,109297.59,109242.53,32398284.8
2025-07-02 12:08:00,109214.91,109214.91,109520.83,109520.83,32783758.222222224
2025-07-02 12:09:00,109475.95,109475.95,109671.77,109612.38,32775643.02222222
2025-07-02 12:10:00,109631.04,109438.75,109631.04,109569.24,32808652.8
2025-07-02 12:11:00,109592.23,109500.01,109617.98,109509.19,32704915.911111113
2025-07-02 12:12:00,109510.24,109467.6,109545.95,109484.19,32747810.133333333
2025-07-02 12:13:00,109455.73,109367.77,109462.54,109418.76,32761685.333333332
2025-07-02 12:14:00,109428.33,109388.95,109487.31,109485.57,32904917.333333332
2025-07-02 12:15:00,109522.88,109415.69,109522.88,109464.55,32960631.466666665
2025-07-02 12:16:00,109529.61,109506.47,109640.0,109637.86,33030528.0
2025-07-02 12:17:00,109649.54,109581.22,109665.2,109587.59,33030528.0
2025-07-02 12:18:00,109585.96,109506.98,109637.36,109637.36,33165067.377777778
2025-07-02 12:19:00,109598.82,109546.98,109620.48,109609.68,33025900.088888887
2025-07-02 12:20:00,109646.64,109479.97,109655.28,109479.97,33025900.088888887
2025-07-02 12:21:00,109486.92,109458.01,109498.2,109498.2,33951149.51111111
2025-07-02 12:22:00,109480.68,109420.33,109492.49,109443.86,34017220.266666666
2025-07-02 12:23:00,109440.84,109346.29,109440.84,109397.55,34017220.266666666
2025-07-02 12:24:00,109359.48,109262.29,109359.48,109352.79,34142415.64444444
2025-07-02 12:25:00,109342.0,109270.29,109359.74,109281.58,34147134.57777778
2025-07-02 12:26:00,109230.29,109175.51,109241.22,109239.21,33120768.0
2025-07-02 12:27:00,109253.23,109213.69,109259.1,109254.61,33120768.0
2025-07-02 12:28:00,109248.78,109189.77,109269.42,109224.17,34133757.155555554
2025-07-02 12:29:00,109275.23,109223.16,109276.04,109246.62,32519148.088888887
2025-07-02 12:30:00,109271.0,109271.0,109368.57,109314.19,32519148.088888887
2025-07-02 12:31:00,109304.0,109203.37,109304.0,109246.17,32521022.577777777
2025-07-02 12:32:00,109246.42,109219.71,109253.73,109219.71,34283044.97777778
2025-07-02 12:33:00,109219.9,109212.69,109352.77,109352.77,34777028.266666666
2025-07-02 12:34:00,109357.93,109282.17,109357.93,109355.21,33069229.51111111
2025-07-02 12:35:00,109363.39,109334.24,109395.29,109350.35,33069229.51111111
2025-07-02 12:36:00,109364.88,109350.84,109425.95,109425.95,33149949.155555554
2025-07-02 12:37:00,109434.64,109382.21,109462.69,109462.13,34930170.31111111
2025-07-02 12:38:00,109462.12,109427.2,109477.37,109474.84,34947649.42222222
2025-07-02 12:39:00,109474.84,109474.84,109586.84,109586.84,34910088.53333333
2025-07-02 12:40:00,109602.04,109594.45,109633.34,109606.24,34910088.53333333
2025-07-02 12:41:00,109621.92,109543.12,109633.29,109543.28,34540290.844444446
2025-07-02 12:42:00,109570.36,109547.97,109625.38,109625.38,34540290.844444446
2025-07-02 12:43:00,109616.36,109603.02,109632.93,109629.14,34535270.4
2025-07-02 12:44:00,109612.21,109559.21,109616.52,109581.63,34553992.53333333
2025-07-02 12:45:00,109606.26,109577.51,109611.59,109605.34,34665631.28888889
2025-07-02 12:46:00,109609.19,109609.19,109645.04,109645.04,34665631.28888889
2025-07-02 12:47:00,109668.18,109600.02,109668.18,109614.83,34652447.28888889
2025-07-02 12:48:00,109605.66,109528.34,109622.84,109622.84,34733895.11111111
2025-07-02 12:49:00,109623.43,109613.85,109667.48,109662.03,34699613.86666667
2025-07-02 12:50:00,109686.06,109634.41,109691.32,109639.72,34737880.177777775
2025-07-02 12:51:00,109613.61,109521.1,109613.61,109553.42,34821270.755555555
2025-07-02 12:52:00,109557.11,109517.02,109590.93,109574.02,34791381.333333336
2025-07-02 12:53:00,109583.8,109521.03,109584.45,109584.45,34882525.86666667
2025-07-02 12:54:00,109613.62,109500.05,109613.62,109501.73,34851999.28888889
2025-07-02 12:55:00,109505.39,109478.06,109572.61,109524.04,34896054.04444444
2025-07-02 12:56:00,109494.86,109391.29,109498.35,109438.26,34965737.244444445
2025-07-02 12:57:00,109451.65,109451.65,109557.14,109557.14,34945009.777777776
2025-07-02 12:58:00,109541.1,109476.04,109542.02,109505.97,34803908.266666666
2025-07-02 12:59:00,109505.96,109457.38,109522.55,109457.38,34949791.28888889
2025-07-02 13:00:00,109529.61,109529.61,109642.31,109600.07,34949791.28888889
2025-07-02 13:01:00,109600.07,109577.63,109648.11,109600.05,34882062.222222224
2025-07-02 13:02:00,109608.35,109589.06,109670.02,109632.68,35746181.68888889
2025-07-02 13:03:00,109610.09,109565.34,109620.42,109576.3,35746181.68888889
2025-07-02 13:04:00,109588.82,109561.33,109588.82,109561.33,35673617.06666667
2025-07-02 13:05:00,109561.32,109506.87,109583.03,109506.87,35673617.06666667
2025-07-02 13:06:00,109521.11,109475.1,109521.11,109475.1,34635815.822222225
2025-07-02 13:07:00,109495.77,109447.89,109496.77,109496.77,34658315.37777778
2025-07-02 13:08:00,109496.76,109428.17,109496.76,109450.01,35368376.88888889
2025-07-02 13:09:00,109462.95,109439.3,109496.77,109471.05,35415862.04444444
2025-07-02 13:10:00,109446.79,109438.48,109457.74,109450.17,35285677.51111111
2025-07-02 13:11:00,109445.62,109436.12,109446.64,109436.12,35285677.51111111
2025-07-02 13:12:00,109434.24,109407.58,109488.81,109488.55,35458779.02222222
2025-07-02 13:13:00,109480.38,109480.38,109562.44,109552.01,35458779.02222222
2025-07-02 13:14:00,109548.87,109499.77,109548.87,109518.0,35875638.04444444
2025-07-02 13:15:00,109515.42,109515.41,109560.87,109550.15,35875638.04444444
2025-07-02 13:16:00,109542.2,109514.97,109575.23,109575.23,35905257.244444445
2025-07-02 13:17:00,109598.68,109564.38,109605.22,109574.51,35922130.48888889
2025-07-02 13:18:00,109578.84,109528.28,109585.91,109585.91,35922130.48888889
2025-07-02 13:19:00,109585.91,109556.16,109594.03,109594.03,35246961.777777776
2025-07-02 13:20:00,109584.2,109584.2,109624.99,109624.99,36002144.71111111
2025-07-02 13:21:00,109655.29,109626.51,109666.96,109666.96,36002144.71111111
2025-07-02 13:22:00,109643.03,109643.03,109708.58,109705.72,35314579.91111111
2025-07-02 13:23:00,109718.15,109718.15,109819.67,109792.07,36070732.8
2025-07-02 13:24:00,109786.5,109640.06,109786.5,109678.04,36070732.8
2025-07-02 13:25:00,109697.4,109522.23,109697.4,109576.48,35386282.666666664
2025-07-02 13:26:00,109552.18,109535.78,109560.09,109559.46,36173801.244444445
2025-07-02 13:27:00,109560.53,109477.43,109571.4,109477.43,36173801.244444445
2025-07-02 13:28:00,109477.44,109438.49,109477.44,109471.79,36058385.06666667
2025-07-02 13:29:00,109486.71,109449.24,109486.71,109465.38,35386558.57777778
2025-07-02 13:30:00,109451.27,109432.55,109465.38,109463.93,36291845.68888889
2025-07-02 13:31:00,109472.16,109417.7,109482.98,109443.85,35591099.733333334
2025-07-02 13:32:00,109422.93,109422.93,109441.15,109440.14,35627525.68888889
2025-07-02 13:33:00,109440.2,109425.84,109457.47,109457.47,35672314.31111111
2025-07-02 13:34:00,109457.46,109434.23,109489.69,109450.2,35694341.68888889
2025-07-02 13:35:00,109455.73,109420.01,109479.97,109429.8,35694341.68888889
2025-07-02 13:36:00,109429.83,109321.69,109429.83,109370.0,36397826.844444446
2025-07-02 13:37:00,109340.02,109330.61,109347.02,109330.61,36442322.48888889
2025-07-02 13:38:00,109302.0,109073.74,109302.0,109095.23,36519833.6
2025-07-02 13:39:00,109095.22,109037.63,109095.22,109081.2,36519833.6
2025-07-02 13:40:00,109070.31,109004.31,109128.16,109004.31,35700155.733333334
2025-07-02 13:41:00,108996.79,108995.15,109047.3,109044.3,35700155.733333334
2025-07-02 13:42:00,109050.02,109046.04,109142.01,109142.01,35885494.04444444
2025-07-02 13:43:00,109172.73,109172.73,109230.95,109226.18,35899599.64444444
2025-07-02 13:44:00,109227.02,109136.04,109227.02,109200.0,36048278.755555555
2025-07-02 13:45:00,109186.3,109148.14,109223.07,109171.77,36007534.93333333
2025-07-02 13:46:00,109175.74,109018.0,109175.74,109079.67,35956721.777777776
2025-07-02 13:47:00,109088.33,108933.4,109088.33,108938.08,35956721.777777776
2025-07-02 13:48:00,108914.3,108914.3,109002.41,109002.41,36113959.822222225
2025-07-02 13:49:00,109012.48,108927.48,109012.48,108948.12,36145203.2
2025-07-02 13:50:00,108968.92,108968.92,109103.65,109050.12,36146571.37777778
2025-07-02 13:51:00,109051.79,109010.56,109065.94,109065.94,36145501.86666667
2025-07-02 13:52:00,109080.3,109080.3,109135.69,109128.04,36145501.86666667
2025-07-02 13:53:00,109156.21,109156.21,109238.21,109227.79,36803672.177777775
2025-07-02 13:54:00,109217.49,109213.66,109254.59,109243.08,36803672.177777775
2025-07-02 13:55:00,109217.92,109111.35,109217.92,109111.35,36846583.46666667
2025-07-02 13:56:00,109060.83,109050.04,109137.55,109115.91,36841728.0
2025-07-02 13:57:00,109106.18,109055.76,109106.38,109106.38,36532027.733333334
2025-07-02 13:58:00,109113.02,109096.68,109128.94,109128.94,36494336.0
2025-07-02 13:59:00,109145.74,109145.74,109204.87,109196.14,36494336.0
2025-07-02 14:00:00,109213.03,109207.87,109267.47,109215.64,36528085.333333336
2025-07-02 14:01:00,109224.3,109216.54,109231.72,109225.38,36528085.333333336
2025-07-02 14:02:00,109230.46,109140.0,109261.79,109140.0,36542034.48888889
2025-07-02 14:03:00,109251.9,109251.9,109318.16,109318.16,35870725.68888889
2025-07-02 14:04:00,109323.45,109283.76,109323.45,109290.01,35807234.844444446
2025-07-02 14:05:00,109289.14,109240.62,109289.14,109240.92,36993356.8
2025-07-02 14:06:00,109239.11,109225.75,109282.55,109282.55,36304315.733333334
2025-07-02 14:07:00,109274.07,109221.86,109274.07,109223.79,36304315.733333334
2025-07-02 14:08:00,109233.61,109212.01,109262.79,109212.01,36322864.35555556
