janela,horizonte,mae,mape
15,1,46.48652588552969,0.04239975453325959
15,2,58.63249764623123,0.05348852477351284
15,3,68.47534536570669,0.062474790046076
15,4,77.396372781729,0.0706239078236218
15,5,83.78909994813432,0.07646466767655692
15,6,89.07564202449198,0.08129421847017244
15,7,93.74577571067232,0.08556159423115911
15,8,96.14997872095223,0.08775704991448695
15,9,100.74582018297917,0.09195465550321297
15,10,104.01662759018792,0.09494122581459159
15,11,106.60684202271413,0.09730994052987885
15,12,109.18254115177986,0.09966907798381745
15,13,111.97923681636242,0.10222927743166804
15,14,115.50854239536477,0.10546030639876458
15,15,118.53176028963954,0.10822769029941114
15,16,121.15838418457251,0.1106337034296196
15,17,123.75894472853628,0.11301637909850787
15,18,126.2943853533039,0.11533421149551713
15,19,128.91838880253138,0.11773306859341008
15,20,131.41543750529945,0.12001343425517748
15,21,134.22738892851703,0.12258129289652091
15,22,137.46813064023027,0.12554150562157976
15,23,140.29447859140848,0.12812302059006067
15,24,143.1773895536507,0.13075680400493697
15,25,145.58376233800055,0.132954810282453
15,26,148.15864694482852,0.1353062699816143
15,27,150.4050637941165,0.13736000682890562
15,28,152.1067747203796,0.13891429481747306
15,29,154.14502135216736,0.14077507878823867
15,30,156.3842613173297,0.14281616358919183
15,31,158.7986594190222,0.14501874416526506
15,32,161.50214106130161,0.14748506081894341
15,33,163.95686023761507,0.14972308738539677
15,34,166.67422890546672,0.15220305625279307
15,35,169.0400409447212,0.15436072115464242
15,36,171.23279405566427,0.15636082012538408
15,37,173.35872266214048,0.15830016540518957
15,38,175.37150333177877,0.16013445354919859
15,39,177.2711235255181,0.16186404805325952
15,40,179.3245020777348,0.16373283794178384
15,41,181.7512698919262,0.1659431739277579
15,42,184.29551538669713,0.16826192818854502
15,43,186.89558790646018,0.1706300288950813
15,44,189.58164660108375,0.17307897865666114
15,45,192.33623335511547,0.1755881644458438
15,46,194.88377329206796,0.17791034786561918
15,47,197.19954406285547,0.18002171982133341
