janela,horizonte,mae,mape
30,53,205.3034402174646,0.18746348414371647
30,54,207.61532472936696,0.18957060388467348
30,55,209.61132099254215,0.19138844000231223
30,56,211.5508000943399,0.19315387195771258
30,57,213.7679046557831,0.19517009092535265
30,58,215.92310897853122,0.19713013388441528
30,59,217.9640451442216,0.19898753696451796
30,60,220.21195427630656,0.20103370068719648
60,1,34.1383240502268,0.03116396270436124
60,2,44.42679661825988,0.04055798160427833
60,3,52.72254369550215,0.048122222762876476
60,4,58.98072502183445,0.05382263251281267
60,5,65.30288428382335,0.05959964987260358
60,6,70.88785250771848,0.06470411819954984
60,7,76.73310847764763,0.07004790633907763
60,8,81.4163394536135,0.07433207674699512
60,9,85.59537191935853,0.0781528648743438
60,10,89.0960720078541,0.08135799044740653
60,11,91.90841802270226,0.08393123400716464
60,12,94.41857061538877,0.08622778231827326
60,13,97.51183937778093,0.08905787465614397
60,14,100.92401825818153,0.09217931268323752
60,15,104.39073903123601,0.09535008015738129
60,16,107.32272156713333,0.09803336781993756
60,17,110.89962062613826,0.10130771996481285
60,18,114.41671134780218,0.10452848351187548
60,19,117.77519030531145,0.10759846453375603
60,20,120.69431393873366,0.11026689420451415
60,21,123.36399961123361,0.11270616311802883
60,22,126.03493074144417,0.11514681496236985
60,23,128.77655527996404,0.1176515029651528
60,24,131.1072730749665,0.11978066238684792
60,25,133.5090871442861,0.12197373785060957
60,26,136.53776108061342,0.12473987742902333
60,27,139.90550458934467,0.12781632279457927
60,28,143.42568829856455,0.13103483604980182
60,29,146.4868933442746,0.1338306932959113
60,30,149.34407279201147,0.13643869536872474
60,31,152.3780254994098,0.13920607995484055
60,32,155.2934358607084,0.14186668990700285
60,33,158.10811251140922,0.1444351789966963
60,34,160.71103360035127,0.14680902004568094
60,35,163.44189944706503,0.14930104591436769
60,36,166.356983979577,0.1519609370730861
60,37,169.206141985227,0.15456162152601738
60,38,172.44334441203014,0.15751734797265862
60,39,175.20644962706857,0.16003760421982052
60,40,177.8992941312748,0.16249117217312511
60,41,180.69781197877657,0.1650397219441081
60,42,183.49012986610887,0.1675827022762887
60,43,185.97347526172993,0.1698442383428278
60,44,188.39425710818227,0.17204735632073997
60,45,190.6857576377499,0.17413418190073293
60,46,193.39733933411307,0.1766037568467743
60,47,196.08036570448087,0.17904976849110646
60,48,198.98990856774887,0.18170413060720492
60,49,201.53817231372503,0.18402617808574928
60,50,204.0486764344308,0.18631138877016917
60,51,206.71969251256135,0.18874032411302633
60,52,209.32693435155045,0.19111142508811788
60,53,211.7112733783065,0.19328059993041655
60,54,214.02528371117216,0.19538428284468692
60,55,216.18109671883872,0.19734469514558683
60,56,218.76929859996355,0.19969899865379434
60,57,221.22277760112055,0.20193317802069558
60,58,223.85366619769866,0.20433074894529005
60,59,225.99602749336546,0.20628061186462207
60,60,228.23935543815256,0.20832075634911118
